timestamp,test-class,test-method,time,description,result
2021-09-06 18:10:55.399,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1724,"[1] recordIndex=0, author=Miguel Ángel Valverde, link=http://ejemplo2.com, moment=2021/08/15 10:38, title=I'm the master of my Team!",Expected value '2021/08/15 10:38' in attribute 0 of record 0, but found '2021/08/29 14:36'
2021-09-06 18:10:56.881,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1031,"[2] recordIndex=1, author=Miguel Ángel, link=http://ejemplo7.com, moment=2021/08/16 10:35, title=I'm the best developer!",Expected value '2021/08/16 10:35' in attribute 0 of record 1, but found '2021/08/21 10:29'
2021-09-06 18:10:58.359,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1063,"[3] recordIndex=2, author=Antonio Campuzano, link=http://ejemplo1.com, moment=2021/08/15 10:15, title=I'm the creator!",Expected value '2021/08/15 10:15' in attribute 0 of record 2, but found '2021/08/17 05:42'
2021-09-06 18:10:59.818,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1071,"[4] recordIndex=3, author=Ale Ruiz, link=null, moment=2021/08/16 09:49, title=I'm developer!",Expected value '2021/08/16 09:49' in attribute 0 of record 3, but found '2021/08/16 10:35'
2021-09-06 18:11:01.227,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1012,"[5] recordIndex=4, author=John Doe, link=null, moment=2021/08/15 09:39, title=I'm developer!",Expected value '2021/08/15 09:39' in attribute 0 of record 4, but found '2021/08/16 09:49'
2021-09-06 18:11:02.622,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,995,"[6] recordIndex=5, author=Diego Plaza, link=http://ejemplo3.com, moment=2021/08/15 02:48, title=I'm developer!",Expected value '2021/08/15 02:48' in attribute 0 of record 5, but found '2021/08/15 10:38'
2021-09-06 18:11:04.101,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1080,"[7] recordIndex=6, author=Emote-man, link=null, moment=2021/08/21 10:29, title=;) :) -_-",Expected value '2021/08/21 10:29' in attribute 0 of record 6, but found '2021/08/15 10:15'
2021-09-06 18:11:05.483,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1005,"[8] recordIndex=7, author=Pedro, link=null, moment=2021/08/29 14:36, title=I'm not a developer!",Expected value '2021/08/29 14:36' in attribute 0 of record 7, but found '2021/08/15 09:39'
2021-09-06 18:11:06.869,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1015,"[9] recordIndex=8, author=John Jonhns, link=http://ejemplo5.com, moment=2021/08/10 13:19, title=I'm an alien",Expected value '2021/08/10 13:19' in attribute 0 of record 8, but found '2021/08/15 02:48'
2021-09-06 18:11:08.279,acme.testing.anonymous.shout.AnonymousShoutListTest,listRecentShoutsByMoment,1048,"[10] recordIndex=9, author=Mariano, link=http://ejemplo8.com, moment=2021/08/17 05:42, title=I'm here! :)",Expected value '2021/08/17 05:42' in attribute 0 of record 9, but found '2021/08/10 13:19'
2021-09-06 18:11:26.537,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5149,"[1] author=Lucia Nieto, text=¡soy una super programadora!, link=http://lucianieto.org",OK
2021-09-06 18:11:32.162,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5261,"[2] author=Jose Luis Garcia, text=¡me encanta el software!, link=null",OK
2021-09-06 18:11:36.529,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3925,"[3] author=Antonio Buendia, text=Diseño y pruebas es mi asignatura favorita, link=http://antonio.org",OK
2021-09-06 18:11:40.895,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3850,"[4] author=Manuela Gomez, text=soy analista, link=null",OK
2021-09-06 18:11:45.34,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3953,"[5] author=Joaquin Neva, text=¡Soy manager desde hace 10 años!, link=null",OK
2021-09-06 18:11:49.935,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3967,"[6] author=Francisco Lopez, text=Mi pasión es la mezcla software-hardware, link=null",OK
2021-09-06 18:11:52.184,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1862,"[1] author=sex sex sex, text=sex sex sex, link=http://lucianieto.org",OK
2021-09-06 18:11:54.499,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1911,"[2] author=Jose Luis Garcia, text=null, link=null",OK
2021-09-06 18:11:56.735,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1838,"[3] author=, text=Diseño y pruebas es mi asignatura favorita, link=http://antonio.org",OK
2021-09-06 18:11:59.043,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1884,"[4] author=millón de dolares, text=soy analista, link=null",OK
2021-09-06 18:12:01.334,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1851,"[5] author=Joaquin Neva, text=sex sex sex, link=null",OK
2021-09-06 18:12:03.657,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1930,"[6] author=Francisco Lopez, text=Mi pasión es la mezcla software-hardware, link=hhtp",OK
